filename,class,split,num_boxes
crazing_1.jpg,crazing,train,3
crazing_2.jpg,crazing,train,2
crazing_3.jpg,crazing,train,4
crazing_4.jpg,crazing,train,2
crazing_5.jpg,crazing,train,3
crazing_6.jpg,crazing,val,2
crazing_7.jpg,crazing,val,3
crazing_8.jpg,crazing,test,2
crazing_9.jpg,crazing,test,3
inclusion_1.jpg,inclusion,train,2
inclusion_2.jpg,inclusion,train,3
inclusion_3.jpg,inclusion,train,1
inclusion_4.jpg,inclusion,val,2
inclusion_5.jpg,inclusion,test,2
patches_1.jpg,patches,train,1
patches_2.jpg,patches,train,2
patches_3.jpg,patches,val,1
patches_4.jpg,patches,test,1
pitted_surface_1.jpg,pitted_surface,train,5
pitted_surface_2.jpg,pitted_surface,train,8
pitted_surface_3.jpg,pitted_surface,val,6
pitted_surface_4.jpg,pitted_surface,test,7
rolled-in_scale_1.jpg,rolled-in_scale,train,2
rolled-in_scale_2.jpg,rolled-in_scale,train,3
rolled-in_scale_3.jpg,rolled-in_scale,val,2
rolled-in_scale_4.jpg,rolled-in_scale,test,1
scratches_1.jpg,scratches,train,2
scratches_2.jpg,scratches,train,1
scratches_3.jpg,scratches,val,3
scratches_4.jpg,scratches,test,2
